Past,EVT,ACRES,
Past Conifer,Agricultural,1300021.788,
Past Conifer,Conifer,3634942.086,
Past Conifer,Conifer-Hardwood,384217.176,
Past Conifer,Developed,901650.336,
Past Conifer,Exotics,466226.64,
Past Conifer,Grassland,11307.792,
Past Conifer,Hardwood,4950911.91,
Past Conifer,Riparian,1910246.286,
Past Conifer,Shrubland,1541.568,
Past Grassland,Agricultural,35129166.56,
Past Grassland,Conifer,32658.864,
Past Grassland,Conifer-Hardwood,290600.886,
Past Grassland,Developed,4284821.112,
Past Grassland,Exotics,932292.33,
Past Grassland,Grassland,189957.408,
Past Grassland,Hardwood,1742788.578,
Past Grassland,Riparian,1023197.556,
Past Grassland,Shrubland,1018.536,
Past Grassland,Sparsely Vegetated,25.974,
Past Hardwood,Agricultural,60384349.43,
Past Hardwood,Conifer,3354963.678,
Past Hardwood,Conifer-Hardwood,7480381.02,
Past Hardwood,Developed,21737837.29,
Past Hardwood,Exotics,2872740.162,
Past Hardwood,Grassland,106421.25,
Past Hardwood,Hardwood,43722993.91,
Past Hardwood,Riparian,4031327.97,
Past Hardwood,Shrubland,4612.938,
Past Hardwood,Sparsely Vegetated,0.222,
Past Hardwood-Conifer,Agricultural,4701589.926,
Past Hardwood-Conifer,Conifer,3582308.772,
Past Hardwood-Conifer,Conifer-Hardwood,2656195.368,
Past Hardwood-Conifer,Developed,2883566.436,
Past Hardwood-Conifer,Exotics,467268.93,
Past Hardwood-Conifer,Grassland,17370.39,
Past Hardwood-Conifer,Hardwood,10924752.53,
Past Hardwood-Conifer,Riparian,1081994.922,
Past Hardwood-Conifer,Shrubland,2955.93,
Past Riparian,Agricultural,7084229.568,
Past Riparian,Conifer,1795512.024,
Past Riparian,Conifer-Hardwood,1209451.116,
Past Riparian,Developed,2646148.314,
Past Riparian,Exotics,666270.84,
Past Riparian,Grassland,72805.344,
Past Riparian,Hardwood,4992282.054,
Past Riparian,Riparian,18831586.45,
Past Riparian,Shrubland,2299.254,
Past Riparian,Sparsely Vegetated,3.996,
Past Savanna,Agricultural,24700.386,
Past Savanna,Conifer,1234.986,
Past Savanna,Conifer-Hardwood,5910.528,
Past Savanna,Developed,10111.878,
Past Savanna,Exotics,606.504,
Past Savanna,Hardwood,11923.842,
Past Savanna,Riparian,277.944,
Past Shrubland,Agricultural,16437.102,
Past Shrubland,Conifer,4025.526,
Past Shrubland,Conifer-Hardwood,49884.732,
Past Shrubland,Developed,4179.15,
Past Shrubland,Exotics,1983.126,
Past Shrubland,Grassland,251.748,
Past Shrubland,Hardwood,5327.334,
Past Shrubland,Riparian,2405.814,
Past Shrubland,Shrubland,3619.044,
